kappa_range,mean_range,agreement,key_finding,experiment,status,mean_equality_check.consistent,mean_equality_check.inconsistent,mean_equality_check.tail_heavy,n_bootstrap,selection_size,comparisons,tasks,kendall_tau_se_vs_oracle,kendall_tau_gap_vs_oracle,spearman_rho_se_vs_oracle,kappa_before,kappa_after,delta_kappa,n_trajectories,monitor_accuracy,majority_accuracy,first_step_accuracy,random_accuracy,n_memory_records,n_test_tasks,n_sim_trials,by_condition,n_tasks,n_runs,summary,p_a_beats_b_single_run,p_a_beats_b_multi_run,true_gap,rows,comparison,spearman_rho,p_value,absolute_mae,normalized_mae,default_gain,bo_gain,grid_best_gain,bo_params.alpha,bo_params.dpo_bonus,bo_params.k,grid_best_params.alpha,grid_best_params.dpo_bonus,grid_best_params.k
0.4844,6.9e-05,"[{'metric': 'iqm', 'spearman_rho': -0.5, 'p_value': 0.6666666666666667}, {'metric': 'cvar_0.1', 'spearman_rho': 0.5, 'p_value': 0.6666666666666667}, {'metric': 'pass_hat_4', 'spearman_rho': 0.5, 'p_value': 0.6666666666666667}, {'metric': 'kappa', 'spearman_rho': 0.5, 'p_value': 0.6666666666666667}]","Means are equal but κ spans widely, showing distribution metrics capture hidden inconsistency",experiment_01_distribution_metrics,ok,0.5,0.4999,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,experiment_02_recoverable_training,ok,,,,1000.0,5.0,"[{'baseline': 'random_sampling', 'p_disteval_gt_baseline': 0.8260000000000001, 'mean_diff': 0.0021709684057716833, 'cohens_d': 1.396849372492483}, {'baseline': 'top_k_hardest', 'p_disteval_gt_baseline': 1.0, 'mean_diff': 0.005870797703996518, 'cohens_d': 8.018512824655389}, {'baseline': 'all_tasks', 'p_disteval_gt_baseline': 1.0, 'mean_diff': 0.004930796858327451, 'cohens_d': 6.715411929819837}, {'baseline': 'solid_only', 'p_disteval_gt_baseline': 1.0, 'mean_diff': 0.005870797703996518, 'cohens_d': 8.018512824655389}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,experiment_03_self_engine_oracle,ok,,,,,,,6.0,0.9999999999999999,0.7333333333333333,1.0,0.7771496922998012,0.9271496922998013,0.15000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,experiment_04_trajectory_monitor,ok,,,,,,,,,,,,,,200.0,0.94,0.76,0.54,0.51,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,experiment_05_trajectory_memory,ok,,,,,,,,,,,,,,,,,,,200.0,10.0,1000.0,"[{'condition': 'chronological', 'mean_success_rate': 0.5085, 'mean_boost': 0.506}, {'condition': 'none', 'mean_success_rate': 0.4972, 'mean_boost': 0.5}, {'condition': 'random', 'mean_success_rate': 0.534, 'mean_boost': 0.53}, {'condition': 'structural', 'mean_success_rate': 0.7524, 'mean_boost': 0.75}]",,,,,,,,,,,,,,,,,,,,,
,,,,experiment_06_recursion_engine,ok,,,,,,,,,,,,,,,,,,,,,,,10.0,100.0,"[{'strategy': 'flat_retry', 'mean_parent_solved': 0.311, 'mean_sub_tasks_solved': 0.622}, {'strategy': 'random_decomposition', 'mean_parent_solved': 0.072, 'mean_sub_tasks_solved': 0.542}, {'strategy': 'recursion_engine', 'mean_parent_solved': 0.568, 'mean_sub_tasks_solved': 1.513}]",,,,,,,,,,,,,,,,,,
,,,,experiment_07_distributed_eval,ok,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.05,"[{'agent': 'A', 'baseline': 'single_agent_single_run', 'ci_width': 0.06817401195920592, 'meta_ci_width': None, 'underconfidence_ratio': None}, {'agent': 'B', 'baseline': 'single_agent_single_run', 'ci_width': 0.06044528092110357, 'meta_ci_width': None, 'underconfidence_ratio': None}, {'agent': 'C', 'baseline': 'single_agent_single_run', 'ci_width': 0.048094098081426506, 'meta_ci_width': None, 'underconfidence_ratio': None}, {'agent': 'A', 'baseline': 'single_agent_multi_run', 'ci_width': None, 'meta_ci_width': 0.05550124328540684, 'underconfidence_ratio': 0.9094321004389473}, {'agent': 'B', 'baseline': 'single_agent_multi_run', 'ci_width': None, 'meta_ci_width': 0.050779141656381976, 'underconfidence_ratio': 0.5987120176990403}, {'agent': 'C', 'baseline': 'single_agent_multi_run', 'ci_width': None, 'meta_ci_width': 0.06405845753886374, 'underconfidence_ratio': 0.8905952018384048}, {'agent': 'all', 'baseline': 'multi_agent_multi_run', 'ci_width': None, 'meta_ci_width': 0.11716476277998644, 'underconfidence_ratio': 1.6185153130007834}]",,,,,,,,,,,,,,
,,,,experiment_08_agent_harness,ok,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,"[{'method': 'harness', 'loc': 42, 'n_records': 6, 'validation_errors': 0, 'error_rate': 0.0, 'records_per_loc': 0.143, 'error_free_records_per_loc': 0.143}, {'method': 'manual_jsonl', 'loc': 78, 'n_records': 6, 'validation_errors': 6, 'error_rate': 1.0, 'records_per_loc': 0.077, 'error_free_records_per_loc': 0.0}, {'method': 'adhoc_adapter', 'loc': 64, 'n_records': 6, 'validation_errors': 6, 'error_rate': 1.0, 'records_per_loc': 0.094, 'error_free_records_per_loc': 0.0}]",,,,,,,,,,,,,
,,,,experiment_09_training_sim_fidelity,ok,,,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0008618870901530117,0.20628982123314746,,,,,,,,,
,,,,experiment_10_bayesian_optimization,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020890199162539203,0.10511126354730882,0.10511126354730882,0.7794886170764324,2.732802803305494,8.0,0.6,3.0,8.0
